# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
     466       -0.449926       -0.444195      0.00112117
     467       -0.442458       -0.444192      0.00111877
     468       -0.454916       -0.444214      0.00111662
     469        -0.45972       -0.444247      0.00111473
     470       -0.439544       -0.444237      0.00111241
     471       -0.451519       -0.444253      0.00111015
     472       -0.425875       -0.444214      0.00110849
     473       -0.434332       -0.444193      0.00110634
     474       -0.472438       -0.444253      0.00110561
     475       -0.433818       -0.444231       0.0011035
     476       -0.438625       -0.444219      0.00110125
     477       -0.439022       -0.444208        0.001099
     478       -0.429827       -0.444178      0.00109711
     479       -0.445889       -0.444182      0.00109483
     480       -0.455819       -0.444206      0.00109282
     481       -0.420007       -0.444156       0.0010917
     482       -0.436872       -0.444141      0.00108955
     483       -0.426596       -0.444104       0.0010879
     484       -0.413715       -0.444042      0.00108746
     485       -0.450354       -0.444055       0.0010853
     486       -0.471704       -0.444111      0.00108455
     487       -0.453341        -0.44413      0.00108249
     488       -0.438904        -0.44412      0.00108033
     489       -0.503107        -0.44424      0.00108482
     490        -0.45752       -0.444267      0.00108295
     491       -0.441468       -0.444261      0.00108076
     492       -0.472741       -0.444319      0.00108011
     493        -0.44318       -0.444317      0.00107792
     494       -0.455831        -0.44434        0.001076
     495       -0.467004       -0.444386       0.0010748
     496       -0.429505       -0.444356      0.00107305
     497       -0.423022       -0.444313      0.00107175
     498       -0.399512       -0.444223      0.00107336
     499       -0.397163       -0.444129      0.00107534
     500       -0.466977       -0.444175      0.00107416
     501        -0.47316       -0.444232      0.00107357
     502       -0.456336       -0.444256       0.0010717
     503       -0.444008       -0.444256      0.00106958
     504       -0.430717       -0.444229      0.00106779
     505       -0.386728       -0.444116      0.00107172
     506       -0.421184        -0.44407      0.00107056
     507       -0.449047        -0.44408       0.0010685
     508       -0.472861       -0.444137      0.00106789
     509       -0.417686       -0.444085      0.00106706
     510       -0.475589       -0.444146      0.00106675
     511       -0.482239       -0.444221      0.00106726
     512       -0.436448       -0.444206      0.00106529
     513       -0.398799       -0.444117      0.00106688
     514       -0.449506       -0.444128      0.00106486
     515       -0.451653       -0.444142      0.00106289
     516       -0.453124        -0.44416      0.00106097
     517       -0.448525       -0.444168      0.00105896
     518       -0.469984       -0.444218      0.00105808
     519        -0.45743       -0.444243      0.00105635
     520       -0.452675        -0.44426      0.00105445
     521       -0.455973       -0.444282      0.00105267
     522       -0.459281       -0.444311      0.00105104
     523       -0.443491       -0.444309      0.00104904
     524        -0.42756       -0.444277      0.00104752
     525       -0.452317       -0.444292      0.00104564
     526       -0.446528       -0.444297      0.00104366
     527       -0.461267       -0.444329      0.00104218
     528       -0.433018       -0.444307      0.00104043
     529       -0.397847        -0.44422      0.00104216
     530        -0.50243       -0.444329      0.00104595
     531       -0.451779       -0.444343      0.00104408
     532       -0.446801       -0.444348      0.00104213
     533       -0.459001       -0.444375      0.00104054
     534       -0.456153       -0.444397      0.00103882
     535       -0.460291       -0.444427      0.00103731
     536       -0.436771       -0.444413      0.00103547
     537       -0.483836       -0.444486      0.00103614
     538       -0.438186       -0.444474      0.00103428
     539       -0.370424       -0.444337      0.00104143
     540       -0.468249       -0.444382      0.00104044
     541       -0.433766       -0.444362      0.00103871
     542       -0.436624       -0.444348      0.00103689
     543       -0.450297       -0.444359      0.00103504
     544         -0.4176        -0.44431      0.00103431
     545       -0.451231       -0.444322      0.00103249
     546         -0.4234       -0.444284      0.00103131
     547       -0.462252       -0.444317      0.00102995
     548        -0.43122       -0.444293      0.00102835
     549       -0.429536       -0.444266      0.00102682
     550        -0.48639       -0.444343      0.00102781
     551       -0.426907       -0.444311      0.00102643
     552       -0.437713       -0.444299      0.00102464
     553        -0.45139       -0.444312      0.00102287
     554       -0.482981       -0.444381       0.0010234
     555       -0.434109       -0.444363      0.00102172
     556       -0.465396       -0.444401      0.00102059
     557       -0.438301        -0.44439      0.00101881
     558       -0.446558       -0.444394        0.001017
     559       -0.460072       -0.444422      0.00101557
     560       -0.457227       -0.444445      0.00101401
     561       -0.470351       -0.444491      0.00101325
     562       -0.460999        -0.44452      0.00101188
     563       -0.443825       -0.444519      0.00101008
     564       -0.451141        -0.44453      0.00100836
     565       -0.394981       -0.444443      0.00101038
     566       -0.422394       -0.444404      0.00100934
     567       -0.458213       -0.444428      0.00100786
     568       -0.412056       -0.444371      0.00100769
     569       -0.451809       -0.444384      0.00100601
     570       -0.427697       -0.444355      0.00100467
     571       -0.468544       -0.444398       0.0010038
     572       -0.458281       -0.444422      0.00100234
     573       -0.445409       -0.444423       0.0010006
     574       -0.457816       -0.444447     0.000999127
     575       -0.453346       -0.444462      0.00099751
     576       -0.467823       -0.444503     0.000996603
     577       -0.433193       -0.444483     0.000995069
