# STEP: 				 T: 				 MU: 				 SIGMA: 		  ENERGY: 		 ENERGY_BEST: 		 ERROR:
     212          1.0578         1.19601        0.737622        0.601686       -0.428727      0.00743197
     213         1.05463         1.19601        0.737622        0.601686       -0.428727       0.0147149
     214         1.05146         1.35706        0.628357          1.1544       -0.428727      0.00699882
     215         1.04831         1.35706        0.628357          1.1544       -0.428727       0.0196202
     216         1.04516         1.05871        0.651743        -0.12535       -0.428727      0.00297126
     217         1.04203         1.05871        0.651743        -0.12535       -0.428727      0.00885272
     218          1.0389         1.31548        0.495789        0.684443       -0.428727       0.0032257
     219         1.03579        0.906957        0.465257      -0.0968207       -0.428727      0.00271771
     220         1.03268        0.643078        0.702981       -0.358286       -0.428727      0.00117651
     221         1.02958         1.02888         0.78909       0.0745181       -0.428727       0.0056528
     222         1.02649         1.02888         0.78909       0.0745181       -0.428727       0.0123864
     223         1.02341        0.593896        0.771652       -0.317764       -0.428727       0.0015118
     224         1.02034         1.08257        0.588816       -0.109245       -0.428727       0.0022025
     225         1.01728         1.08257        0.588816       -0.109245       -0.428727      0.00560899
     226         1.01423         1.08257        0.588816       -0.109245       -0.428727      0.00290101
     227         1.01119         1.08257        0.588816       -0.109245       -0.428727       0.0069224
     228         1.00815         1.08257        0.588816       -0.109245       -0.428727      0.00781005
     229         1.00513         1.08257        0.588816       -0.109245       -0.428727      0.00531058
     230         1.00211         0.70371        0.469015       -0.190028       -0.428727      0.00258684
     231        0.999106         0.92663        0.452396       -0.025338       -0.428727      0.00306354
     232        0.996109         0.92663        0.452396       -0.025338       -0.428727       0.0264153
     233         0.99312         0.92663        0.452396       -0.025338       -0.428727       0.0121706
     234        0.990141         0.92663        0.452396       -0.025338       -0.428727       0.0185342
     235        0.987171        0.959795        0.645733       -0.326036       -0.428727      0.00205934
     236        0.984209        0.959795        0.645733       -0.326036       -0.428727       0.0052399
     237        0.981256        0.834641        0.802656       -0.256438       -0.428727      0.00337911
     238        0.978313        0.864626        0.584693       -0.419702       -0.428727     0.000962396
     239        0.975378        0.962769        0.595409       -0.333682       -0.428727      0.00141075
     240        0.972452        0.962769        0.595409       -0.333682       -0.428727      0.00712281
     241        0.969534        0.962769        0.595409       -0.333682       -0.428727      0.00648654
     242        0.966626        0.631615        0.537314       -0.305107       -0.428727      0.00127349
     243        0.963726        0.631615        0.537314       -0.305107       -0.428727      0.00371945
     244        0.960835        0.300031        0.575398        0.172346       -0.428727      0.00247149
     245        0.957952       0.0152095        0.459208        0.956919       -0.428727      0.00502108
     246        0.955078       0.0774795        0.481319        0.799962       -0.428727      0.00445942
     247        0.952213        0.010597        0.588966        0.376982       -0.428727      0.00319364
     248        0.949356        0.193019        0.518309        0.499441       -0.428727      0.00343381
     249        0.946508        0.447887        0.656556       -0.149454       -0.428727      0.00164682
     250        0.943669       0.0808615        0.602075        0.315074       -0.428727      0.00297401
     251        0.940838        0.126272        0.609534        0.271003       -0.428727      0.00290949
     252        0.938015        0.281875         0.48007        0.443987       -0.428727      0.00329251
     253        0.935201        0.281875         0.48007        0.443987       -0.428727      0.00925062
     254        0.932396        0.281875         0.48007        0.443987       -0.428727       0.0109833
     255        0.929598        0.433628        0.528129       0.0211994       -0.428727      0.00198233
     256         0.92681      0.00235642        0.436243         1.10109       -0.428727      0.00541285
     257        0.924029         0.16279        0.662337        0.114138       -0.428727      0.00241888
     258        0.921257        0.396307        0.538115        0.079112       -0.428727      0.00218038
     259        0.918493        0.844722        0.390316        0.393204       -0.428727      0.00477581
     260        0.915738        0.994918        0.489832       -0.122501       -0.428727      0.00189245
     261        0.912991          0.9448        0.696909       -0.291437       -0.428727      0.00271791
