# DISTANCE:		AVE_GOFR:	 ERROR:
         459     1.00242  0.00479886
         460     1.00508  0.00490377
         461     1.00144  0.00480365
         462    0.997289  0.00500125
         463    0.995651  0.00500806
         464      0.9971  0.00515049
         465     1.00324   0.0050649
         466     1.00386  0.00503767
         467     1.00427  0.00500644
         468     1.00334  0.00541939
         469     1.00346  0.00528561
         470    0.999962  0.00537427
         471    0.996671  0.00568878
         472     1.00174  0.00541871
         473    0.994592  0.00476157
         474    0.994994  0.00476524
         475    0.993628  0.00497261
         476    0.995722  0.00505033
         477    0.995834  0.00518202
         478    0.993255  0.00521881
         479    0.990793  0.00499295
         480    0.989026  0.00515562
         481    0.992402  0.00487048
         482     0.98967  0.00500931
         483    0.989147  0.00492476
         484    0.986654  0.00467234
         485     0.98967  0.00463159
         486    0.994143  0.00470314
         487    0.995274  0.00445171
         488    0.996807  0.00469525
         489    0.993756  0.00469491
         490    0.993549  0.00469361
         491    0.995104  0.00466057
         492     0.99542  0.00450135
         493     0.99348  0.00478008
         494    0.991639   0.0050048
         495    0.988499  0.00492168
         496      0.9917  0.00499694
         497    0.991225   0.0048397
         498    0.990906  0.00467606
         499    0.986426  0.00493104
         500    0.989037   0.0050319
         501    0.990788  0.00528442
         502    0.985951  0.00481293
         503    0.986544  0.00490561
         504    0.985847    0.004979
         505    0.987636  0.00491909
         506    0.991684   0.0046869
         507    0.989801  0.00502423
         508    0.990888  0.00516146
         509    0.992636  0.00451997
         510    0.996773  0.00465495
         511    0.991405  0.00456869
         512    0.993597  0.00497849
         513    0.992039  0.00442756
         514    0.997372  0.00459663
         515     0.99592  0.00465898
         516     0.99212  0.00409803
         517    0.990337  0.00435878
         518    0.989631   0.0041144
         519    0.985126  0.00394529
         520     0.98693  0.00428294
         521      0.9896  0.00426705
         522    0.985839   0.0045047
         523     0.98806  0.00462758
         524    0.988497   0.0047115
         525    0.988782  0.00436959
         526    0.988891  0.00428281
         527    0.990406  0.00441167
         528    0.988545  0.00458256
         529    0.990063  0.00435034
         530    0.989003  0.00436562
         531    0.990232  0.00437933
         532    0.990591  0.00446576
         533    0.987801   0.0042918
         534    0.989863   0.0046749
         535    0.991441  0.00457942
         536    0.989165  0.00424987
         537     0.98438  0.00438418
         538    0.987477  0.00446936
         539    0.991308   0.0043332
         540    0.989249  0.00427122
         541    0.988686  0.00465556
         542     0.98994  0.00427305
         543    0.987333    0.003659
         544    0.986935  0.00395994
         545    0.990563  0.00416726
         546    0.991896  0.00385219
         547    0.990114  0.00385603
         548    0.988785  0.00382733
         549    0.993595  0.00408142
         550    0.991568   0.0040983
         551    0.990459  0.00412987
         552    0.996478  0.00451765
         553    0.990431    0.004808
         554    0.989327  0.00440597
         555    0.992488  0.00475234
         556    0.993042  0.00480242
         557    0.992332  0.00450805
         558    0.990528   0.0043582
         559    0.990893  0.00416241
         560    0.988164  0.00417984
         561    0.991145  0.00434078
         562    0.994715  0.00366609
         563    0.993985  0.00376083
         564    0.994264  0.00419332
         565     0.99055  0.00420788
         566    0.995026  0.00448147
         567    0.995935  0.00457612
         568    0.996513  0.00406968
         569      0.9895  0.00378588
         570    0.990767  0.00379143
         571    0.989667  0.00391805
         572     0.98896  0.00389185
         573     0.98689  0.00388286
         574    0.990489  0.00391178
         575    0.992986  0.00432941
         576    0.987032  0.00393737
         577    0.989973  0.00385489
         578    0.991883  0.00393932
         579    0.989258  0.00372247
         580    0.990825  0.00410059
         581    0.989384  0.00376641
         582    0.990253    0.003561
         583    0.993189  0.00431834
         584    0.992617  0.00407763
         585    0.993284  0.00417962
         586    0.991741  0.00379916
         587    0.990502    0.003999
         588    0.992545  0.00407453
         589    0.989235  0.00419649
         590    0.986571  0.00401658
         591    0.986666  0.00399039
         592    0.984976  0.00386695
         593    0.984418  0.00405352
         594    0.984277  0.00406125
         595    0.987533  0.00414391
         596    0.992128  0.00420952
         597    0.987999  0.00380357
         598    0.987343  0.00367729
         599    0.989112  0.00428306
         600    0.985894  0.00370697
         601    0.986758  0.00379848
         602    0.986546  0.00390984
         603    0.985851  0.00351725
         604    0.985048  0.00356745
         605    0.982072  0.00353795
         606    0.983576  0.00375718
         607    0.982978  0.00376957
         608    0.984199  0.00414353
         609    0.988528  0.00367531
         610     0.98784  0.00383916
         611    0.989111  0.00395215
         612    0.988946  0.00400683
         613    0.984227  0.00399763
         614    0.987066  0.00390426
         615    0.985033  0.00394004
         616    0.989361  0.00399885
         617    0.988845  0.00395215
         618    0.986865   0.0040375
         619    0.988727  0.00426306
         620    0.988021  0.00391903
         621    0.988165  0.00367343
         622    0.990094    0.003888
         623    0.987125  0.00351032
         624    0.984644  0.00334629
         625    0.985919  0.00359696
         626    0.986157  0.00371175
         627     0.98168  0.00339533
         628     0.98331  0.00349304
         629    0.984388  0.00389683
         630    0.984893  0.00378535
         631    0.988325  0.00361168
         632    0.988392  0.00366913
         633    0.985712  0.00355766
         634    0.984656  0.00393692
         635    0.984343  0.00359238
         636    0.986112   0.0037602
         637    0.980929  0.00366696
         638     0.98151  0.00362595
         639    0.981394  0.00364382
         640    0.980541  0.00422914
         641    0.981569  0.00380212
         642    0.982711  0.00362818
         643    0.984197  0.00354235
         644    0.988033  0.00366226
         645    0.987007  0.00375041
         646    0.988282  0.00390169
         647    0.987427   0.0035464
         648    0.983625  0.00354252
         649    0.986762  0.00365165
         650    0.988223  0.00371047
         651    0.987763  0.00354323
         652    0.986945  0.00319989
         653    0.987023  0.00319869
         654    0.985045  0.00346033
         655     0.98442  0.00323258
         656    0.983423  0.00305448
         657    0.984004  0.00337139
         658    0.983358  0.00340791
         659    0.986295  0.00345019
         660    0.987887  0.00301603
         661    0.984333  0.00351622
         662    0.980865  0.00358264
         663    0.984705  0.00376425
         664    0.983388  0.00360526
         665     0.98397  0.00337109
         666    0.985683  0.00354936
         667     0.98537   0.0033206
         668    0.986343   0.0032961
         669    0.987886   0.0034115
         670    0.987953  0.00339103
         671    0.984052  0.00324349
         672    0.982757  0.00328058
         673    0.986714  0.00337114
         674    0.985348  0.00343674
         675     0.98345  0.00338424
         676    0.983602  0.00316789
         677    0.983163  0.00329131
         678    0.983493  0.00324406
         679    0.981808  0.00333134
         680    0.982995  0.00339666
         681    0.985385  0.00332331
         682    0.985663  0.00333458
         683    0.980933  0.00329782
         684    0.984428  0.00335873
         685    0.987639  0.00320409
         686    0.987846  0.00356776
         687    0.984688  0.00357537
         688    0.983175  0.00358114
         689    0.986727  0.00353195
         690    0.986584  0.00347592
         691    0.984481  0.00344007
         692    0.981952  0.00315913
         693    0.983582  0.00348237
         694    0.982238  0.00368523
         695    0.983464  0.00352254
         696    0.981079  0.00356149
         697    0.980649  0.00360553
         698    0.983836  0.00364003
         699    0.981058  0.00353806
         700    0.984731  0.00345121
         701    0.985148  0.00316344
         702    0.981637  0.00340045
         703    0.979822  0.00344051
         704    0.981769  0.00357058
         705    0.982709  0.00371375
         706    0.983422  0.00311832
         707      0.9842  0.00300986
         708    0.982118  0.00330801
         709    0.978416  0.00316253
         710    0.976802  0.00303161
         711    0.978902  0.00297012
         712    0.984013  0.00310449
         713    0.981913  0.00306693
         714    0.982808  0.00338655
         715    0.981878  0.00332751
         716    0.985993  0.00303307
         717    0.984759  0.00297055
         718    0.983732  0.00292847
         719    0.985501  0.00290062
         720    0.984862  0.00327358
         721    0.985665  0.00346803
         722    0.985599  0.00323796
         723    0.985768  0.00335883
         724    0.984052  0.00320151
         725    0.985051  0.00355712
         726    0.984539  0.00334885
         727    0.987113  0.00349595
         728    0.984243  0.00330246
         729    0.981728  0.00321188
         730    0.984268  0.00334331
         731    0.983395   0.0033678
         732    0.986174  0.00348126
         733    0.986634  0.00306185
         734    0.984908  0.00307179
         735    0.987125  0.00321038
         736    0.988727  0.00319632
         737    0.985646  0.00299411
         738    0.986027  0.00286785
         739    0.984017  0.00274564
         740    0.985561  0.00257529
         741    0.988432  0.00298074
         742    0.987852  0.00316726
         743     0.98455  0.00291147
         744    0.986008   0.0031746
         745    0.983508  0.00308738
         746    0.986617  0.00309206
         747    0.986807  0.00290065
         748    0.983514  0.00272228
         749    0.984518  0.00296561
         750    0.985695  0.00288488
         751    0.985863  0.00329223
         752    0.983629   0.0029619
         753    0.985159   0.0031326
         754     0.98555  0.00305936
         755    0.985719  0.00304547
         756    0.986399  0.00263191
         757    0.989981  0.00254258
         758    0.988046  0.00264614
         759    0.987799  0.00264388
         760     0.99095  0.00287376
         761    0.990317  0.00292785
         762    0.991345  0.00266949
         763    0.991638  0.00257288
