#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
         463     1.18776     1.18411  0.00139704
         464     1.19735     1.18414  0.00139432
         465     1.20687     1.18419  0.00139218
         466      1.1908      1.1842  0.00138927
         467     1.17574     1.18419  0.00138641
         468     1.21939     1.18426  0.00138549
         469     1.23223     1.18436   0.0013863
         470     1.24906      1.1845  0.00139017
         471      1.2552     1.18465   0.0013953
         472     1.26334     1.18482  0.00140226
         473     1.20584     1.18486      0.0014
         474     1.19639     1.18489  0.00139726
         475     1.17496     1.18487  0.00139448
         476     1.15371      1.1848  0.00139308
         477     1.15592     1.18474  0.00139148
         478     1.16526      1.1847  0.00138916
         479     1.18798     1.18471  0.00138628
         480     1.20217     1.18474  0.00138387
         481     1.19643     1.18477   0.0013812
         482     1.17004     1.18474  0.00137868
         483     1.16829      1.1847  0.00137624
         484     1.17298     1.18468  0.00137361
         485      1.1939      1.1847  0.00137091
         486     1.23067     1.18479  0.00137135
         487      1.2088     1.18484  0.00136942
         488     1.16134     1.18479  0.00136746
         489     1.15885     1.18474  0.00136569
         490     1.18867     1.18475  0.00136293
         491     1.19085     1.18476  0.00136021
         492     1.20519      1.1848  0.00135808
         493     1.18548      1.1848  0.00135533
         494     1.18242      1.1848  0.00135259
         495     1.18287     1.18479  0.00134986
         496     1.21555     1.18486  0.00134857
         497     1.23251     1.18495  0.00134926
         498     1.21288     1.18501  0.00134771
         499     1.19766     1.18503  0.00134525
         500     1.20526     1.18507  0.00134317
         501     1.21269     1.18513  0.00134162
         502     1.21535     1.18519   0.0013403
         503      1.1939     1.18521  0.00133774
         504      1.1858     1.18521  0.00133509
         505     1.20494     1.18525  0.00133302
         506     1.21219      1.1853  0.00133145
         507     1.18293     1.18529  0.00132883
         508     1.15262     1.18523  0.00132777
         509     1.15375     1.18517   0.0013266
         510     1.15925     1.18512  0.00132497
         511     1.16728     1.18508  0.00132284
         512     1.17882     1.18507  0.00132031
         513     1.18257     1.18507  0.00131775
         514     1.20294      1.1851  0.00131564
         515     1.15897     1.18505  0.00131406
         516     1.14978     1.18498  0.00131329
         517     1.15404     1.18492  0.00131212
         518     1.13576     1.18483  0.00131301
         519     1.17167      1.1848  0.00131073
         520     1.18743     1.18481  0.00130822
         521       1.187     1.18481  0.00130571
         522     1.20163     1.18484  0.00130361
         523     1.19277     1.18486   0.0013012
         524     1.17423     1.18484  0.00129888
         525     1.17314     1.18482   0.0012966
         526     1.16146     1.18477  0.00129489
         527     1.16886     1.18474  0.00129279
         528     1.14784     1.18467  0.00129222
         529     1.15978     1.18462  0.00129064
         530     1.19579     1.18465  0.00128838
         531     1.22074     1.18471  0.00128774
         532     1.20975     1.18476  0.00128618
         533     1.18411     1.18476  0.00128377
         534     1.18222     1.18475  0.00128137
         535     1.19826     1.18478  0.00127923
         536     1.18677     1.18478  0.00127685
         537     1.19743     1.18481  0.00127468
         538     1.20591     1.18485  0.00127292
         539     1.23391     1.18494  0.00127381
         540     1.21188     1.18499  0.00127242
         541     1.17975     1.18498  0.00127011
         542     1.19444     1.18499  0.00126789
         543      1.1613     1.18495   0.0012663
         544       1.192     1.18496  0.00126404
         545     1.20517       1.185  0.00126226
         546     1.19924     1.18503  0.00126022
         547     1.19662     1.18505   0.0012581
         548     1.22272     1.18512  0.00125768
         549     1.21491     1.18517  0.00125656
         550     1.19357     1.18519  0.00125436
         551     1.21636     1.18524  0.00125336
         552     1.19786     1.18527   0.0012513
         553     1.19113     1.18528  0.00124908
         554     1.17443     1.18526  0.00124698
         555     1.15887     1.18521  0.00124564
         556     1.16729     1.18518  0.00124382
         557     1.17826     1.18516  0.00124165
         558     1.19345     1.18518  0.00123951
         559     1.19524      1.1852  0.00123742
         560     1.18979     1.18521  0.00123524
         561     1.16787     1.18517  0.00123343
         562     1.17925     1.18516  0.00123128
         563     1.19939     1.18519  0.00122935
         564      1.2819     1.18536  0.00123907
         565     1.28829     1.18554   0.0012502
         566     1.22587     1.18561  0.00125002
         567     1.21039     1.18566  0.00124857
         568     1.22238     1.18572  0.00124805
         569     1.19584     1.18574  0.00124598
         570     1.21273     1.18579  0.00124469
         571     1.21741     1.18584  0.00124375
         572     1.24107     1.18594  0.00124531
         573      1.1933     1.18595  0.00124321
         574     1.22589     1.18602  0.00124299
         575     1.19805     1.18604    0.001241
         576     1.17455     1.18602  0.00123901
         577     1.16919     1.18599   0.0012372
         578     1.16493     1.18596   0.0012356
         579     1.19691     1.18598  0.00123361
         580      1.1865     1.18598  0.00123148
         581     1.16955     1.18595  0.00122969
         582     1.18171     1.18594   0.0012276
         583     1.19979     1.18597  0.00122572
         584     1.18664     1.18597  0.00122362
         585     1.19344     1.18598   0.0012216
         586     1.23257     1.18606   0.0012221
         587     1.24634     1.18616  0.00122432
         588     1.24649     1.18626  0.00122653
         589     1.22712     1.18633  0.00122641
         590      1.1994     1.18636  0.00122453
         591     1.20144     1.18638  0.00122273
         592     1.22997     1.18646  0.00122288
         593     1.20662     1.18649  0.00122129
         594     1.21102     1.18653  0.00121993
         595     1.18663     1.18653  0.00121788
         596     1.19028     1.18654  0.00121585
         597     1.19034     1.18654  0.00121383
         598      1.2075     1.18658  0.00121231
         599      1.1711     1.18655  0.00121056
         600     1.17296     1.18653  0.00120875
