# DISTANCE:		AVE_GOFR:	 ERROR:
         593    0.990569 0.000783073
         594    0.989349 0.000782694
         595    0.989657  0.00078046
         596    0.989117 0.000781239
         597    0.989484 0.000778852
         598    0.990686 0.000778235
         599    0.991502 0.000776241
         600    0.990104 0.000774732
         601     0.98932 0.000772478
         602    0.990153 0.000771574
         603    0.991126 0.000771421
         604    0.991466 0.000768554
         605    0.989924 0.000768849
         606    0.989973 0.000766411
         607    0.989648 0.000766921
         608    0.988064 0.000763346
         609    0.990491 0.000763348
         610     0.98917 0.000760278
         611    0.990982 0.000762145
         612    0.989962 0.000759524
         613    0.990585 0.000757908
         614    0.989754 0.000757823
         615    0.988354  0.00075396
         616    0.990158 0.000753411
         617    0.988245  0.00075233
         618    0.990372  0.00075285
         619    0.987791 0.000748622
         620    0.990373 0.000750242
         621    0.988293 0.000748138
         622    0.990563 0.000747364
         623    0.987307 0.000744978
         624    0.988455 0.000744614
         625    0.989678 0.000742358
         626    0.989167 0.000741718
         627    0.988737 0.000741162
         628    0.989505 0.000740893
         629    0.988224 0.000737767
         630    0.989594 0.000736206
         631    0.990292 0.000736302
         632      0.9895 0.000735079
         633    0.988846  0.00073238
         634    0.986805 0.000731519
         635    0.987785 0.000730167
         636    0.988141 0.000729562
         637    0.987436 0.000728547
         638    0.989579 0.000728016
         639    0.989569 0.000726651
         640    0.987477 0.000723176
         641    0.988202 0.000722019
         642    0.987502 0.000722334
         643    0.989181 0.000721167
         644     0.98699 0.000720358
         645    0.989107  0.00071997
         646    0.988493 0.000717632
         647    0.989952 0.000718411
         648    0.988925 0.000715683
         649    0.988744 0.000715622
         650    0.989324 0.000714257
         651    0.988316 0.000713257
         652    0.988051 0.000711611
         653    0.988971  0.00070921
         654    0.988925 0.000708887
         655    0.989517 0.000708163
         656    0.987742 0.000708522
         657    0.988684 0.000707872
         658    0.988219  0.00070585
         659    0.989201 0.000705693
         660    0.989033 0.000703039
         661    0.987775 0.000701527
         662    0.988045 0.000700477
         663    0.990275 0.000701819
         664     0.98679 0.000698196
         665     0.98625 0.000697985
         666    0.988692 0.000696185
         667    0.989752 0.000696919
         668    0.986546 0.000692945
         669    0.988622 0.000694162
         670    0.988351 0.000693135
         671    0.988799 0.000692888
         672    0.987089 0.000689223
         673    0.987925 0.000689522
         674    0.988031 0.000689242
         675    0.988296 0.000687143
         676    0.989369  0.00068836
         677    0.990245 0.000686205
         678    0.986659 0.000684755
         679    0.989803 0.000684629
         680    0.989111 0.000682294
         681    0.987461 0.000680886
         682     0.98812 0.000680122
         683     0.98718 0.000679846
         684    0.987827 0.000677723
         685    0.987833 0.000676374
         686    0.987418 0.000676776
         687    0.987168 0.000675566
         688    0.988179 0.000675002
         689    0.985484 0.000672757
         690    0.987726 0.000672862
         691    0.987749 0.000673129
         692    0.988281 0.000670057
         693    0.988105 0.000669322
         694    0.989402   0.0006695
         695    0.987026 0.000667258
         696    0.987376  0.00066739
         697     0.98527 0.000664206
         698    0.988611 0.000663275
         699    0.986931 0.000664068
         700    0.988016 0.000663019
         701    0.988588 0.000662186
         702    0.988248 0.000661535
         703     0.98964 0.000660419
         704    0.987095 0.000659241
         705    0.985698 0.000657106
         706     0.98655 0.000656614
         707    0.988094 0.000655436
         708    0.986913 0.000655958
         709    0.987095 0.000654955
         710    0.988368 0.000653738
         711    0.986815 0.000653651
         712    0.986666 0.000650839
         713     0.98663 0.000649348
         714    0.986915 0.000649378
         715    0.987313 0.000649319
         716    0.988276 0.000648357
         717    0.987908 0.000646505
         718    0.987996 0.000646551
         719    0.987426 0.000645928
         720    0.988268 0.000644505
         721    0.987336 0.000641154
         722    0.986799  0.00064228
         723    0.987302 0.000641239
         724    0.986114 0.000639446
         725    0.989019 0.000640084
         726    0.988205 0.000639513
         727    0.986471 0.000637682
         728    0.986806 0.000637154
         729    0.986803 0.000636986
         730    0.986495 0.000634923
         731    0.987347  0.00063413
         732     0.98747  0.00063437
         733    0.985774 0.000631775
         734    0.986208 0.000631692
         735    0.986356 0.000630099
         736    0.987956 0.000630306
         737    0.987909 0.000629105
         738    0.987853 0.000628218
         739    0.986149 0.000626854
         740    0.987446 0.000626673
         741    0.987479 0.000625435
         742    0.985755 0.000624603
         743     0.98539 0.000623091
         744    0.987565  0.00062298
         745    0.985759  0.00062291
         746    0.986338  0.00062113
         747    0.986555 0.000619731
         748    0.988168 0.000620359
         749    0.986023 0.000618809
         750    0.986646 0.000618197
         751    0.985111 0.000616382
         752    0.986657 0.000617773
         753     0.98674 0.000615038
         754    0.985788 0.000615067
         755    0.986643 0.000615444
         756    0.986742 0.000613723
         757    0.985477 0.000613052
         758    0.989214 0.000613511
         759    0.986848 0.000610252
         760    0.986176 0.000610921
         761    0.986525 0.000609224
         762    0.986427  0.00060849
         763    0.986416 0.000605882
         764    0.984821 0.000606837
         765    0.987655 0.000606434
         766     0.98578 0.000605225
         767    0.986244 0.000603199
         768    0.986219 0.000602141
         769    0.985805 0.000602497
         770    0.986974 0.000601505
         771    0.986918 0.000602549
         772    0.987465 0.000602562
         773    0.986202 0.000599296
         774    0.986478 0.000598602
         775    0.986429 0.000598156
         776    0.986669 0.000597775
         777     0.98635 0.000597188
         778    0.986562 0.000597796
         779    0.987035 0.000594553
         780    0.986513  0.00059394
         781    0.985838 0.000594286
         782    0.987746 0.000593506
         783    0.986297 0.000592469
         784    0.985705 0.000592335
         785    0.986446 0.000590195
         786    0.986526  0.00058916
         787    0.985221 0.000588945
         788    0.985704 0.000588339
         789    0.987455 0.000588387
         790    0.986189 0.000588123
         791    0.987348 0.000586487
         792    0.986767 0.000585512
         793    0.985181 0.000583392
         794    0.986156 0.000582564
         795    0.986821 0.000583165
         796    0.985506  0.00058263
         797    0.985818 0.000581441
         798    0.987023 0.000581502
         799    0.985587 0.000579344
         800    0.986489 0.000578566
         801    0.985699 0.000578082
